SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-31-1996,Single Family Residential,807 NW 57th St,Seattle,WA,98107,745000,3,1.75,Ballard,1780,4200,1941,17,419,,Pending,,,http://www.redfin.com/WA/Seattle/807-NW-57th-St-98107/home/494790,NWMLS,1600925,N,Y,47.6699376,-122.3665939
PAST SALE,April-10-2020,Single Family Residential,5301 1st Ave NW,Seattle,WA,98107,939500,3,1.75,Phinney Ridge,1820,2379,1924,51,516,,Sold,,,http://www.redfin.com/WA/Seattle/5301-1st-Ave-NW-98107/home/298819,NWMLS,1572395,N,Y,47.6676411,-122.3576013
PAST SALE,March-25-2020,Single Family Residential,6309 26th Ave NW,Seattle,WA,98107,924000,3,3.25,Ballard,1570,1410,2014,67,589,,Sold,,,http://www.redfin.com/WA/Seattle/6309-26th-Ave-NW-98107/home/59703343,NWMLS,1572226,N,Y,47.6748263,-122.3903619
PAST SALE,May-3-2016,Single Family Residential,1723 NW 65th St,Seattle,WA,98107,979000,3,2,Ballard,2082,2132,2014,10,470,,Pending,,,http://www.redfin.com/WA/Seattle/1723-NW-65th-St-98117/home/59703181,NWMLS,1595002,N,Y,47.6758198,-122.3798817
PAST SALE,June-3-2013,Single Family Residential,1539 NW 63rd St Unit B,Seattle,WA,98107,849990,3,2.25,Ballard,1543,1617,2013,10,551,,Pending,,,http://www.redfin.com/WA/Seattle/1539-NW-63rd-St-98107/unit-B/home/493290,NWMLS,1601069,N,Y,47.6744026,-122.3780207
MLS Listing,,Single Family Residential,621 NW 44th St,Seattle,WA,98107,825000,3,1,Fremont,2830,3376,1911,11,292,,Active,,,http://www.redfin.com/WA/Seattle/621-NW-44th-St-98107/home/302579,NWMLS,1604277,N,Y,47.6606258,-122.3650032
MLS Listing,,Single Family Residential,627 NW 44th St,Seattle,WA,98107,700000,2,1,Fremont,1820,3376,1916,11,385,,Active,,,http://www.redfin.com/WA/Seattle/627-NW-44th-St-98107/home/302578,NWMLS,1604284,N,Y,47.6606304,-122.3651889
PAST SALE,,Single Family Residential,123 NW 41st,Seattle,WA,98107,875000,3,1.75,Fremont,2480,6909,1907,12,353,,Pending,,,http://www.redfin.com/WA/Seattle/123-NW-41st-St-98107/home/303593,NWMLS,1603192,N,Y,47.6561931,-122.358249
MLS Listing,,Single Family Residential,816 NW Market St,Seattle,WA,98107,899950,6,2,Ballard,2800,4100,1926,16,321,,Active,,,http://www.redfin.com/WA/Seattle/816-NW-Market-St-98107/home/494798,NWMLS,1601907,N,Y,47.6688939,-122.3670486
MLS Listing,,Single Family Residential,360 NW 46th St,Seattle,WA,98107,1000000,3,2.5,Ballard,1670,3880,1947,17,599,,Active,,,http://www.redfin.com/WA/Seattle/360-NW-46th-St-98107/home/302551,NWMLS,1601281,N,Y,47.6624438,-122.3634436
MLS Listing,,Single Family Residential,6405 22nd Ave NW,Seattle,WA,98107,975000,5,2,Ballard,3030,4650,1900,30,322,,Active,,,http://www.redfin.com/WA/Seattle/6405-22nd-Ave-NW-98117/home/493264,NWMLS,1596267,N,Y,47.6754986,-122.3849736
PAST SALE,,Single Family Residential,806 NW 50th St Unit C,Seattle,WA,98107,739950,2,1.75,Ballard,1518,1133,2020,40,487,,Pending,,,http://www.redfin.com/WA/Seattle/806-NW-51st-St-98107/unit-C/home/171388204,NWMLS,1592410,N,Y,47.66517569,-122.3667452
PAST SALE,April-30-2004,Single Family Residential,804 NW 50st St,Seattle,WA,98107,949950,4,2.25,Ballard,1930,1600,2020,40,492,,Pending,,,http://www.redfin.com/WA/Seattle/804-NW-50th-St-98107/home/302317,NWMLS,1592140,N,Y,47.6651546,-122.3666717
PAST SALE,,Single Family Residential,807 NW 51st St Unit C,Seattle,WA,98107,739950,2,1.75,Ballard,1552,1133,2020,40,477,,Pending,,,http://www.redfin.com/WA/Seattle/807-NW-51st-St-98107/unit-C/home/171387327,NWMLS,1592142,N,Y,47.6654989,-122.3666968
PAST SALE,April-28-2004,Single Family Residential,805 NW 51st St,Seattle,WA,98107,949950,4,2.25,Ballard,1926,1600,2020,43,493,,Pending,,,http://www.redfin.com/WA/Seattle/805-NW-51st-St-98107/home/302667,NWMLS,1590383,N,Y,47.665463,-122.366696
PAST SALE,July-3-2006,Single Family Residential,205 NW 65th St,Seattle,WA,98107,799500,3,2,Phinney Ridge,1840,5850,1949,44,435,,Pending,,,http://www.redfin.com/WA/Seattle/205-NW-65th-St-98107/home/299711,NWMLS,1591340,N,Y,47.6758527,-122.3597927
MLS Listing,,Single Family Residential,5802 4th Ave NW,Seattle,WA,98107,895000,4,2.5,Ballard,2060,4000,1926,74,434,,Active,,,http://www.redfin.com/WA/Seattle/5802-4th-Ave-NW-98107/home/493678,NWMLS,1573594,N,Y,47.6710412,-122.3615651
MLS Listing,,Single Family Residential,4104 Leary Way NW,Seattle,WA,98107,829950,2,1,Fremont,1580,4680,1904,177,525,,Active,,,http://www.redfin.com/WA/Seattle/4104-Leary-Way-NW-98107/home/302387,NWMLS,1546373,N,Y,47.6572707,-122.3627423
PAST SALE,March-11-2020,Single Family Residential,3442 NW 62nd St,Seattle,WA,98107,939950,3,1.75,Sunset Hill,2340,5400,1956,81,402,,Sold,,,http://www.redfin.com/WA/Seattle/3442-NW-62nd-St-98107/home/162673,NWMLS,1555916,N,Y,47.6741495,-122.4029577
PAST SALE,May-27-2020,Single Family Residential,336 NW 52nd St,Seattle,WA,98107,840000,3,1.5,Phinney Ridge,2300,5000,1922,4,365,,Sold,,,http://www.redfin.com/WA/Seattle/336-NW-52nd-St-98107/home/303742,NWMLS,1595150,N,Y,47.6666837,-122.3622415
PAST SALE,,Single Family Residential,6034 3rd Ave NW,Seattle,WA,98107,700000,3,1,,1660,6555,1908,,422,,,,,http://www.redfin.com/WA/Seattle/6034-3rd-Ave-NW-98107/home/299291,,,N,Y,47.6734258,-122.3604252
PAST SALE,May-6-2020,Single Family Residential,1106 NW 60th St,Seattle,WA,98107,815000,3,1,Ballard,1660,3250,1926,25,491,,Sold,,,http://www.redfin.com/WA/Seattle/1106-NW-60th-St-98107/home/494589,NWMLS,1586851,N,Y,47.6725202,-122.3717587
PAST SALE,,Single Family Residential,4307 5th Ave NW,Seattle,WA,98107,850000,4,1,,1510,4000,1902,,563,,,,,http://www.redfin.com/WA/Seattle/4307-5th-Ave-NW-98107/home/302918,,,N,Y,47.6591992,-122.3632659
PAST SALE,May-15-2020,Single Family Residential,847 NW 56th St,Seattle,WA,98107,771000,5,2.5,Ballard,1970,4100,1926,16,391,,Sold,,,http://www.redfin.com/WA/Seattle/847-NW-56th-St-98107/home/494679,NWMLS,1603746,N,Y,47.6692466,-122.3682406
PAST SALE,April-22-2020,Single Family Residential,326 NW 52nd St,Seattle,WA,98107,770000,3,1,Ballard,1840,5000,1925,39,418,,Sold,,,http://www.redfin.com/WA/Seattle/326-NW-52nd-St-98107/home/303740,NWMLS,1580933,N,Y,47.6666756,-122.3618598
PAST SALE,March-5-2020,Single Family Residential,6043 7th Ave NW,Seattle,WA,98107,795000,2,1,Ballard,1640,3100,1924,87,485,,Sold,,,http://www.redfin.com/WA/Seattle/6043-7th-Ave-NW-98107/home/494834,NWMLS,1558308,N,Y,47.6736782,-122.3653373
PAST SALE,March-10-2020,Single Family Residential,2447 NW 61st,Seattle,WA,98107,1000000,3,2.25,Ballard,1732,1600,2020,82,577,,Sold,,,http://www.redfin.com/WA/Seattle/2447-NW-61st-St-98107/home/2069500,NWMLS,1568642,N,Y,47.6728957,-122.3896861
PAST SALE,March-27-2020,Single Family Residential,1031 NW 65th St,Seattle,WA,98107,730000,4,4,Ballard,1610,5000,1900,65,453,,Sold,,,http://www.redfin.com/WA/Seattle/1031-NW-65th-St-98107/home/2073539,NWMLS,1537287,N,Y,47.6758202,-122.3711857
PAST SALE,March-4-2020,Single Family Residential,134 NW 56TH St,Seattle,WA,98107,960000,4,1.75,Phinney Ridge,2720,8102,1923,88,353,,Sold,,,http://www.redfin.com/WA/Seattle/134-NW-56th-St-98107/home/299868,NWMLS,1548759,N,Y,47.6702074,-122.3592225
PAST SALE,March-19-2020,Single Family Residential,5304 Baker Ave NW,Seattle,WA,98107,715000,2,1.5,Phinney Ridge,1800,5479,1956,73,397,,Sold,,,http://www.redfin.com/WA/Seattle/5304-Baker-Ave-NW-98107/home/299726,NWMLS,1569116,N,Y,47.6673956,-122.3602521
PAST SALE,,Multi-Family (2-4 Unit),808 NW Market St,Seattle,WA,98107,975000,5,4,,2030,4100,1926,,480,,,,,http://www.redfin.com/WA/Seattle/808-NW-Market-St-98107/home/494367,,,N,Y,47.6688997,-122.3667586
PAST SALE,April-20-2020,Single Family Residential,942 NW 59th St,Seattle,WA,98107,875000,4,2,Ballard,1620,6000,1922,41,540,,Sold,,,http://www.redfin.com/WA/Seattle/942-NW-59th-St-98107/home/494568,NWMLS,1580215,N,Y,47.6717884,-122.3705111
PAST SALE,March-27-2020,Single Family Residential,1125 NW 57th St,Seattle,WA,98107,990000,3,1.75,Ballard,1730,5000,1903,65,572,,Sold,,,http://www.redfin.com/WA/Seattle/1125-NW-57th-St-98107/home/493594,NWMLS,1584564,N,Y,47.6700039,-122.3719543
PAST SALE,May-15-2020,Single Family Residential,2217 NW 63rd St,Seattle,WA,98107,850000,4,2,Ballard,2070,2847,1905,16,411,,Sold,,,http://www.redfin.com/WA/Seattle/2217-NW-63rd-St-98107/home/494625,NWMLS,1587540,N,Y,47.6743843,-122.3856167
PAST SALE,April-30-2020,Single Family Residential,5700 8th Ave NW,Seattle,WA,98107,875000,6,3,Ballard,2560,4650,1943,31,342,,Sold,,,http://www.redfin.com/WA/Seattle/5700-8th-Ave-NW-98107/home/494858,NWMLS,1583231,N,Y,47.670317,-122.365824
PAST SALE,March-30-2020,Single Family Residential,4001 2nd Ave NW,Seattle,WA,98107,1075000,4,1.75,Fremont,2360,4250,1940,66,456,,Sold,,,http://www.redfin.com/WA/Seattle/4001-2nd-Ave-NW-98107/home/302901,NWMLS,1569814,N,Y,47.6557508,-122.3592419
PAST SALE,May-8-2020,Single Family Residential,3032 NW 60th St,Seattle,WA,98107,1260000,4,3,Ballard,3225,5000,1906,27,391,,Sold,,,http://www.redfin.com/WA/Seattle/3032-NW-60th-St-98107/home/162859,NWMLS,1575688,N,Y,47.6724682,-122.3971151
