SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-30-2020,Single Family Residential,4001 2nd Ave NW,Seattle,WA,98107,1075000,4,1.75,Fremont,2360,4250,1940,66,456,,Sold,,,http://www.redfin.com/WA/Seattle/4001-2nd-Ave-NW-98107/home/302901,NWMLS,1569814,N,Y,47.6557508,-122.3592419
PAST SALE,May-8-2020,Single Family Residential,3032 NW 60th St,Seattle,WA,98107,1260000,4,3.0,Ballard,3225,5000,1906,27,391,,Sold,,,http://www.redfin.com/WA/Seattle/3032-NW-60th-St-98107/home/162859,NWMLS,1575688,N,Y,47.6724682,-122.3971151
MLS Listing,,Single Family Residential,3239 NW 61st St,Seattle,WA,98107,1095000,4,1.75,Sunset Hill,2640,5496,1938,1,415,,Active,,,http://www.redfin.com/WA/Seattle/3239-NW-61st-St-98107/home/162283,NWMLS,1608621,N,Y,47.6727805,-122.4000968
PAST SALE,October-26-2006,Single Family Residential,206 NW 40th St,Seattle,WA,98107,1150000,4,2.5,Fremont,2560,5500,1947,6,449,,Pending,,,http://www.redfin.com/WA/Seattle/206-NW-40th-St-98107/home/302902,NWMLS,1608060,N,Y,47.6557627,-122.3594721
PAST SALE,March-30-1994,Single Family Residential,4320 Baker Ave NW,Seattle,WA,98107,1290000,4,2.0,Phinney Ridge,3100,5500,1908,7,416,,Pending,,,http://www.redfin.com/WA/Seattle/4320-Baker-Ave-NW-98107/home/302126,NWMLS,1605742,N,Y,47.6596548,-122.3590814
PAST SALE,October-18-1983,Single Family Residential,304 NW 51st St,Seattle,WA,98107,1200000,4,2.5,Phinney Ridge,3030,5000,1901,20,396,,Pending,,,http://www.redfin.com/WA/Seattle/304-NW-51st-St-98107/home/302835,NWMLS,1601049,N,Y,47.6659072,-122.3610328
PAST SALE,,Single Family Residential,3629 NW 64th St,Seattle,WA,98107,1499950,4,2.5,Sunset Hill,3140,7586,1951,21,478,,Pending,,,http://www.redfin.com/WA/Seattle/3629-NW-64th-St-98107/home/162905,NWMLS,1601230,N,Y,47.6745817,-122.4048473
MLS Listing,,Single Family Residential,360 NW 46th St,Seattle,WA,98107,1000000,3,2.5,Ballard,1670,3880,1947,21,599,,Active,,,http://www.redfin.com/WA/Seattle/360-NW-46th-St-98107/home/302551,NWMLS,1601281,N,Y,47.6624438,-122.3634436
MLS Listing,,Single Family Residential,5218 8th Ave NW,Seattle,WA,98107,1400000,5,3.5,Ballard,3310,4300,1927,22,423,,Active,,,http://www.redfin.com/WA/Seattle/5218-8th-Ave-NW-98107/home/302342,NWMLS,1600916,N,Y,47.6670351,-122.3658807
MLS Listing,,Single Family Residential,300 NW 56th St,Seattle,WA,98107,1028800,5,2.0,Seattle,1860,3300,1950,33,553,,Active,,,http://www.redfin.com/WA/Seattle/300-NW-56th-St-98107/home/493411,NWMLS,1596564,N,Y,47.6695905,-122.3610349
PAST SALE,,Single Family Residential,2436 NW 64th St Unit A,Seattle,WA,98107,1015950,4,1.75,Ballard,1964,1000,2020,42,517,,Pending,,,http://www.redfin.com/WA/Seattle/2436-NW-64th-St-98107/unit-A/home/171408732,NWMLS,1593228,N,Y,47.6755179,-122.3893059
PAST SALE,March-7-2018,Single Family Residential,3013 NW 61st St,Seattle,WA,98107,2000000,6,3.5,Sunset Hill,4152,5000,2020,55,482,,Pending,,,http://www.redfin.com/WA/Seattle/3013-NW-61st-St-98107/home/162206,NWMLS,1588777,N,Y,47.6727514,-122.3962862
MLS Listing,,Single Family Residential,2436 NW 64th St Unit C,Seattle,WA,98107,1025950,4,2.25,Ballard,2108,1000,2020,55,487,,Active,,,http://www.redfin.com/WA/Seattle/2436-NW-64th-St-98107/unit-C/home/171304984,NWMLS,1588415,N,Y,47.6755179,-122.3893059
MLS Listing,,Single Family Residential,2417 NW 60th St,Seattle,WA,98107,1500000,3,1.75,Ballard,2340,5000,1912,77,641,,Active,,,http://www.redfin.com/WA/Seattle/2417-NW-60th-St-98107/home/161964,NWMLS,1580962,N,Y,47.6721982,-122.3884999
PAST SALE,,Single Family Residential,934 NW 63rd St,Seattle,WA,98107,1849999,4,3.5,Ballard,2925,3810,2020,131,632,,Pending,,,http://www.redfin.com/WA/Seattle/934-NW-63rd-St-98107/home/493752,NWMLS,1550546,N,Y,47.6747445,-122.3702943
PAST SALE,March-10-2020,Single Family Residential,2447 NW 61st,Seattle,WA,98107,1000000,3,2.25,Ballard,1732,1600,2020,86,577,,Sold,,,http://www.redfin.com/WA/Seattle/2447-NW-61st-St-98107/home/2069500,NWMLS,1568642,N,Y,47.6728957,-122.3896861
